--- Solution of Y=AX: 
 X671 =  14.434 
 X672 =  -7.022 
 X673 =   3.920 
 X674 =  -6.096 
 X675 = -21.062 
 X676 = -18.427 
 X677 =  16.940 
 X678 =  22.035 
 X679 =   3.850 
 X680 = -30.922 
 X681 =  -0.757 
 X682 =   0.315 
 X683 =  -8.087 
 X684 =   7.725 
 X685 = -18.176 
 X686 =   8.816 
 X687 =  -0.701 
 X688 =   2.979 
 X689 =   4.397 
 X690 =   5.064 
 X691 =  -6.492 
 X692 =  -4.117 
 X693 =  -7.099 
 X694 =  -4.367 
 X695 =  -2.741 
 X696 =  -2.959 
 X697 =  -7.796 
 X698 =  -4.544 
 X699 =  -8.866 
 X700 = -14.040 
 X701 =  -5.755 
 X702 =  -2.447 
 X703 =   2.678 
 X704 =  13.434 
 X705 =   1.243 
 X706 = -15.919 
 X707 =  11.505 
 X708 =  14.528 
 X709 =  -9.527 
 X710 =  -3.766 
 X711 = -27.660 
 X712 = -10.111 
 X713 = -17.926 
 X714 =  -8.546 
 X715 =   3.330 
 X716 =   3.609 
 X717 =   0.190 
 X718 =  -0.433 
 X719 =   7.268 
 X720 =  -2.032 
 X721 = -16.916 
 X722 = -25.567 
 X723 = -28.585 
 X724 =   6.527 
 X725 =  -0.772 
 X726 =  -3.323 
 X727 = -10.192 
 X728 =  -4.888 
 X729 = -19.867 
 X730 =  -1.225 
 X731 =  -4.605 
 X732 =  -1.704 
 X733 = -16.826 
 X734 =   2.776 
 X735 =  15.107 
 X736 =   8.470 
 X737 =  -2.071 
 X738 =  -4.177 
 X739 =   0.984 
 X740 =  -3.325 
 X741 =  -6.318 
 X742 =   6.851 
 X743 =  -4.533 
 X744 =   9.401 
 X745 =  12.058 
 X746 =  15.628 
 X747 =  -1.116 
 X748 = -19.728 
 X749 =   8.255 
 X750 =  -9.734 
 X751 =  14.127 
 X752 =  -2.940 
 X753 =  -5.952 
 X754 = -21.817 
 X755 =  -3.399 
 X756 =   0.051 
 X757 =  14.016 
 X758 =  -9.492 
 X759 =   4.407 
 X760 =   3.301 
 X761 =  -7.348 
 X762 =  -2.671 
 X763 =  -8.106 
 X764 =  -3.424 
 X765 =  -6.783 
 X766 =  19.736 
 X767 =   0.771 
 X768 =   1.247 
 X769 =  -3.891 
 X770 = -10.173 
 X771 =  -5.452 
 X772 =   4.704 
 X773 =  -4.383 
 X774 =  -5.054 
 X775 =  10.335 
 X776 =  -6.910 
 X777 =   5.058 
 X778 =  13.189 
 X779 =  -5.596 
 X780 = -24.556 
 X781 =  -1.346 
 X782 =  -5.041 
 X783 =   4.114 
 X784 =  -4.402 
 X785 =  -5.310 
 X786 =   2.131 
 X787 =  10.055 
 X788 =  12.876 
 X789 = -25.589 
 X790 = -17.604 
 X791 =   5.802 
 X792 =  -4.738 
 X793 =  17.011 
 X794 =   6.380 
 X795 =   1.736 
 X796 =   6.703 
 X797 =   2.282 
 X798 =  -8.922 
 X799 =   6.380 
 X800 = -14.336 
 X801 =   4.240 
 X802 =  12.644 
 X803 =  18.456 
 X804 =  10.128 
 X805 =   9.622 
 X806 =  -2.464 
 X807 = -17.331 
 X808 =  20.033 
 X809 =  -0.285 
 X810 =  -6.238 
 X811 =  -1.475 
 X812 =  11.795 
 X813 =   1.042 
 X814 =  11.942 
 X815 =   4.607 
 X816 =   5.693 
 X817 =   1.157 
 X818 =   0.858 
 X819 = -11.719 
 X820 =  -2.505 
 X821 =  -2.330 
 X822 =  13.856 
 X823 =   7.276 
 X824 =  -3.655 
 X825 =   1.096 
 X826 =   3.698 
 X827 =   6.605 
 X828 =   7.846 
 X829 =   2.799 
 X830 =   0.649 
 X831 =  -3.641 
 X832 =  14.368 
 X833 =  12.483 
 X834 =  -2.574 
 X835 =  -4.929 
 X836 =  -2.904 
 X837 =   1.841 
 X838 =  -3.145 
 X839 =   4.350 
 X840 = -12.486 
 X841 =   2.400 
 X842 =   6.396 
 X843 =  -7.234 
 X844 =  -9.422 
 X845 =   9.637 
 X846 = -21.364 
 X847 = -11.231 
 X848 =  -3.068 
 X849 =   6.013 
 X850 =  -4.220 
 X851 = -19.109 
 X852 =   0.965 
 X853 =  17.990 
 X854 =  -8.955 
 X855 =   2.888 
 X856 =  17.494 
 X857 =  -9.840 
 X858 =   2.386 
 X859 = -24.465 
 X860 = -20.045 
 X861 =   3.849 
 X862 =   7.438 
 X863 =  -0.204 
 X864 =   2.956 
 X865 = -10.518 
 X866 = -12.070 
 X867 = -13.400 
 X868 =   4.541 
 X869 =   3.504 
 X870 =   2.696 
 X871 =  -0.858 
 X872 =  -3.023 
 X873 =  -6.987 
 X874 =  -2.395 
 X875 =   4.002 
 X876 =   4.762 
